"GRADE_ID","ARMEE_ID","GRADE_NAME","GRADE_NAME_UK","NIVEAU_GRADE_ID","CATEGORIE_GRADE_ID","GRADE_SHORT_NAME","GRADE_SHORT_NAME_UK","ORDRE_GRADE"
"8b6a782b-6950-4ae1-ae0e-95a88fc55303","GN","Général d'Armée","General","1","1","GA","GA",1
"d7261fa2-cb5f-4e1c-a1f6-8479cd6a356a","AA","Général d'Armée","General","1","1","A","A",3
"e015207b-2040-4aed-862c-2dc406abe993","AT","Général de Corps d'Armée","Lieutenant-General","2","1","GCA","GCA",6
"27a090f4-40cd-45e1-b17f-437b9741dd10","AA","Général de Corps d'Armée","Lieutnant-General","2","1","GCA","GCA",7
"7ffdbcd2-04ef-4f04-88f4-be8ee5636f94","MN","Vice-Amiral d'Escadre","Vice-Admiral","2","1","VAE","VAE",8
"f80deba6-374f-4e7e-b130-30d56423a2c8","GN","Général de Division","Major-General","3","1","GD","GD",9
"ce6ee3f9-a637-4a34-b1c6-6bf69ce0778a","AT","Général de Division","Major-General","3","1","GD","GD",10
"7da504ca-261a-4209-8011-5564befcd533","AA","Général de Division Aérienne","Air Vice Marshal","3","1","GDA","GDA",11
"0fd0eb66-f932-4a6e-aeed-8b82c7c665cf","MN","Vice-amiral","Vice-Admiral","3","1","VA","VA",12
"84036d27-36df-4261-9d22-e333cc31f6c9","GN","Général de Brigade","Brigadier General","4","1","GB","GB",13
"f98aa4f9-4aa7-45e2-96e0-d4ee5efeaec7","AT","Général de Brigade","Brigadier General","4","1","GB","GB",14
"584b4761-08e3-45fe-8f51-e9274d0f087e","AA","Général de Brigade Aérienne","Air Commodore","4","1","GB","GB",15
"b87b452d-8f72-427f-a86d-0d3370462ad7","MN","Contre-amiral","Rear Admiral","4","1","CA","CA",16
"7873b01e-780b-435c-a28e-b6b10cc86f21","GN","Colonel","Colonel","5","1","COL","COL",17
"e5932c32-5c5e-443e-9231-c44ea85d81b1","AT","Colonel","Colonel","5","1","COL","COL",18
"7eeb4e12-de6e-47e1-a864-08ef2a20f103","AA","Colonel","Colonel","5","1","COL","COL",19
"cd3b0d56-d808-4e7d-b75e-bc0d69391311","MN","Capitaine de Vaisseau","Navy Captain","5","1","CV","CV",20
"9aea9cbd-3964-4b83-82a6-43b5f6115b11","GN","Lieutenant-Colonel","Lieutenant-Colonel","6","1","LCL","LCL",21
"679f0947-c93f-478d-84fa-e3df810f3cc8","AT","Lieutenant-Colonel","Lieutenant-Colonel","6","1","LCL","LCL",22
"17a5d232-9ae4-4dfa-a521-eecbd5655864","AA","Lieutenant-Colonel","Lieutenant-Colonel","6","1","CF","CF",23
"f59088e8-8d1c-48c3-845f-a2ed9991091c","MN","Capitaine de Frégate","Navy Commander","6","1","CF","CF",24
"1f2c9432-fd5c-48e9-85b4-48a34abf4a11","GN","Chef d'Escadron","Major","7","1","CE","CE",25
"8b69cf34-5e50-43b3-9038-6d8b6da8fbdb","AT","Chef de Bataillon","Major","7","1","CBA","CBA",26
"58a3532d-0598-46bb-8e73-dcb5600319fa","AA","Commandant","Major","7","1","CDT","CDT",27
"898df6aa-275e-4f6e-b5f7-ac3dee438259","MN","Capitaine de Corvette","Lieutenant Commander","7","1","CC","CC",28
"c522086a-3fa6-4bf2-a085-d484a7d7b8ac","GN","Capitaine","Captain","8","1","CNE","CNE",29
"5445b873-e394-4182-b5e0-5b2baa0918ab","AT","Capitaine","Captain","8","1","CNE","CNE",30
"0c16f860-84ab-46e4-856d-f41d584c6891","AA","Capitaine","Captain","8","1","CNE","CNE",31
"c95a8e9a-d408-4612-83da-74a7a1cca58c","MN","Lieutenant de Vaisseau","Navy Lieutenant","8","1","LV","LV",32
"dc6a9321-da46-4639-b9e1-6536830a662b","GN","Lieutenant","Lieutenant","9","1","LT","LT",33
